fecha,apertura,maximo,minimo,cierre,volumen,openint
"2005-01-03","","","","4705","","0"
"2005-01-04","","","","4718","","0"
"2005-01-05","","","","4757","","0"
"2005-01-06","","","","4809","","0"
"2005-01-07","","","","4835","","0"
"2005-01-10","","","","4858","","0"
"2005-01-11","","","","4874","","0"
"2005-01-12","","","","4873","","0"
"2005-01-13","","","","4856","","0"
"2005-01-14","","","","4925","","0"
"2005-01-17","","","","4936","","0"
"2005-01-18","","","","5209","","0"
"2005-01-19","","","","5330","","0"
"2005-01-20","","","","5201","","0"
"2005-01-21","","","","5183","","0"
"2005-01-24","","","","5196","","0"
"2005-01-25","","","","5196","","0"
"2005-01-26","","","","5022","","0"
"2005-01-27","","","","5065","","0"
"2005-01-28","","","","5120","","0"
"2005-01-31","","","","5129","","0"
"2005-02-01","","","","5196","","0"
"2005-02-02","","","","5223","","0"
"2005-02-03","","","","5164","","0"
"2005-02-04","","","","5148","","0"
"2005-02-07","","","","5079","","0"
"2005-02-08","","","","5093","","0"
"2005-02-09","","","","5101","","0"
"2005-02-10","","","","5097","","0"
"2005-02-11","","","","4974","","0"
"2005-02-14","","","","4925","","0"
"2005-02-15","","","","4922","","0"
"2005-02-16","","","","4978","","0"
"2005-02-17","","","","4969","","0"
"2005-02-18","","","","4943","","0"
"2005-02-21","","","","4943","","0"
"2005-02-22","","","","4939","","0"
"2005-02-23","","","","4970","","0"
"2005-02-24","","","","4988","","0"
"2005-02-25","","","","5004","","0"
"2005-02-28","","","","4980","","0"
"2005-03-01","","","","4983","","0"
"2005-03-02","","","","5002","","0"
"2005-03-03","","","","5008","","0"
"2005-03-04","","","","5052","","0"
"2005-03-07","","","","5075","","0"
"2005-03-08","","","","5047","","0"
"2005-03-09","","","","5018","","0"
"2005-03-10","","","","5048","","0"
"2005-03-11","","","","5029","","0"
"2005-03-14","","","","5045","","0"
"2005-03-15","","","","5042","","0"
"2005-03-16","","","","5079","","0"
"2005-03-17","","","","5102","","0"
"2005-03-18","","","","5090","","0"
"2005-03-21","","","","5092","","0"
"2005-03-22","","","","5093","","0"
"2005-03-23","","","","5111","","0"
"2005-03-24","","","","5130","","0"
"2005-03-28","","","","5114","","0"
"2005-03-29","","","","5310","","0"
"2005-03-30","","","","5358","","0"
"2005-03-31","","","","5393","","0"
"2005-04-01","","","","5421","","0"
"2005-04-04","","","","5433","","0"
"2005-04-05","","","","5433","","0"
"2005-04-06","","","","5469","","0"
"2005-04-07","","","","5460","","0"
"2005-04-08","","","","5415","","0"
"2005-04-11","","","","5446","","0"
"2005-04-12","","","","5491","","0"
"2005-04-13","","","","5512","","0"
"2005-04-14","","","","5518","","0"
"2005-04-15","","","","5628","","0"
"2005-04-18","","","","5655","","0"
"2005-04-19","","","","6131","","0"
"2005-04-20","","","","6155","","0"
"2005-04-21","","","","6127","","0"
"2005-04-22","","","","6171","","0"
"2005-04-25","","","","6194","","0"
"2005-04-26","","","","6198","","0"
"2005-04-27","","","","6249","","0"
"2005-04-28","","","","6293","","0"
"2005-04-29","","","","6295","","0"
"2005-05-02","","","","6312","","0"
"2005-05-03","","","","6317","","0"
"2005-05-04","","","","6342","","0"
"2005-05-05","","","","6243","","0"
"2005-05-06","","","","6060","","0"
"2005-05-09","","","","6077","","0"
"2005-05-10","","","","6114","","0"
"2005-05-11","","","","6167","","0"
"2005-05-12","","","","6193","","0"
"2005-05-13","","","","6233","","0"
"2005-05-16","","","","6247","","0"
"2005-05-17","","","","6268","","0"
"2005-05-18","","","","6396","","0"
"2005-05-19","","","","6392","","0"
"2005-05-20","","","","6409","","0"
"2005-05-23","","","","6459","","0"
"2005-05-24","","","","6488","","0"
"2005-05-25","","","","6292","","0"
"2005-05-26","","","","6410","","0"
"2005-05-27","","","","6422","","0"
"2005-05-30","","","","6422","","0"
"2005-05-31","","","","6498","","0"
"2005-06-01","","","","6595","","0"
"2005-06-02","","","","6632","","0"
"2005-06-03","","","","6605","","0"
"2005-06-06","","","","6637","","0"
"2005-06-07","","","","6667","","0"
"2005-06-08","","","","6769","","0"
"2005-06-09","","","","6769","","0"
"2005-06-10","","","","6607","","0"
"2005-06-13","","","","795","","0"
"2005-06-14","","","","904","","0"
"2005-06-15","","","","890","","0"
"2005-06-16","","","","890","","0"
"2005-06-17","","","","885","","0"
"2005-06-20","","","","879","","0"
"2005-06-21","","","","881","","0"
"2005-06-22","","","","879","","0"
"2005-06-23","","","","892","","0"
"2005-06-24","","","","890","","0"
"2005-06-27","","","","893","","0"
"2005-06-28","","","","879","","0"
"2005-06-29","","","","866","","0"
"2005-06-30","","","","462","","0"
"2005-07-01","","","","453","","0"
"2005-07-04","","","","453","","0"
"2005-07-05","","","","446","","0"
"2005-07-06","","","","454","","0"
"2005-07-07","","","","439","","0"
"2005-07-08","","","","418","","0"
"2005-07-11","","","","420","","0"
"2005-07-12","","","","406","","0"
"2005-07-13","","","","411","","0"
"2005-07-14","","","","415","","0"
"2005-07-15","","","","418","","0"
"2005-07-18","","","","425","","0"
"2005-07-19","","","","429","","0"
"2005-07-20","","","","422","","0"
"2005-07-21","","","","418","","0"
"2005-07-22","","","","422","","0"
"2005-07-25","","","","429","","0"
"2005-07-26","","","","429","","0"
"2005-07-27","","","","423","","0"
"2005-07-28","","","","416","","0"
"2005-07-29","","","","413","","0"
"2005-08-01","","","","411","","0"
"2005-08-02","","","","406","","0"
"2005-08-03","","","","405","","0"
"2005-08-04","","","","399","","0"
"2005-08-05","","","","392","","0"
"2005-08-08","","","","400","","0"
"2005-08-09","","","","400","","0"
"2005-08-10","","","","396","","0"
"2005-08-11","","","","411","","0"
"2005-08-12","","","","418","","0"
"2005-08-15","","","","412","","0"
"2005-08-16","","","","418","","0"
"2005-08-17","","","","418","","0"
"2005-08-18","","","","426","","0"
"2005-08-19","","","","433","","0"
"2005-08-22","","","","429","","0"
"2005-08-23","","","","431","","0"
"2005-08-24","","","","444","","0"
"2005-08-25","","","","437","","0"
"2005-08-26","","","","437","","0"
"2005-08-29","","","","439","","0"
"2005-08-30","","","","445","","0"
"2005-08-31","","","","439","","0"
"2005-09-01","","","","430","","0"
"2005-09-02","","","","414","","0"
"2005-09-05","","","","414","","0"
"2005-09-06","","","","415","","0"
"2005-09-07","","","","405","","0"
"2005-09-08","","","","406","","0"
"2005-09-09","","","","409","","0"
"2005-09-12","","","","408","","0"
"2005-09-13","","","","415","","0"
"2005-09-14","","","","407","","0"
"2005-09-15","","","","397","","0"
"2005-09-16","","","","388","","0"
"2005-09-19","","","","388","","0"
"2005-09-20","","","","393","","0"
"2005-09-21","","","","390","","0"
"2005-09-22","","","","397","","0"
"2005-09-23","","","","391","","0"
"2005-09-26","","","","385","","0"
"2005-09-27","","","","387","","0"
"2005-09-28","","","","377","","0"
"2005-09-29","","","","363","","0"
"2005-09-30","","","","349","","0"
"2005-10-03","","","","343","","0"
"2005-10-04","","","","355","","0"
"2005-10-05","","","","366","","0"
"2005-10-06","","","","386","","0"
"2005-10-07","","","","373","","0"
"2005-10-10","","","","373","","0"
"2005-10-11","","","","381","","0"
"2005-10-12","","","","405","","0"
"2005-10-13","","","","412","","0"
"2005-10-14","","","","408","","0"
"2005-10-17","","","","405","","0"
"2005-10-18","","","","401","","0"
"2005-10-19","","","","404","","0"
"2005-10-20","","","","415","","0"
"2005-10-21","","","","424","","0"
"2005-10-24","","","","412","","0"
"2005-10-25","","","","399","","0"
"2005-10-26","","","","396","","0"
"2005-10-27","","","","404","","0"
"2005-10-28","","","","389","","0"
"2005-10-31","","","","371","","0"
"2005-11-01","","","","375","","0"
"2005-11-02","","","","374","","0"
"2005-11-03","","","","375","","0"
"2005-11-04","","","","382","","0"
"2005-11-07","","","","380","","0"
"2005-11-08","","","","381","","0"
"2005-11-09","","","","386","","0"
"2005-11-10","","","","391","","0"
"2005-11-11","","","","391","","0"
"2005-11-14","","","","389","","0"
"2005-11-15","","","","387","","0"
"2005-11-16","","","","380","","0"
"2005-11-17","","","","367","","0"
"2005-11-18","","","","368","","0"
"2005-11-21","","","","363","","0"
"2005-11-22","","","","359","","0"
"2005-11-23","","","","353","","0"
"2005-11-24","","","","353","","0"
"2005-11-25","","","","355","","0"
"2005-11-28","","","","376","","0"
"2005-11-29","","","","384","","0"
"2005-11-30","","","","495","","0"
"2005-12-01","","","","487","","0"
"2005-12-02","","","","479","","0"
"2005-12-05","","","","476","","0"
"2005-12-06","","","","473","","0"
"2005-12-07","","","","474","","0"
"2005-12-08","","","","488","","0"
"2005-12-09","","","","485","","0"
"2005-12-12","","","","493","","0"
"2005-12-13","","","","492","","0"
"2005-12-14","","","","484","","0"
"2005-12-15","","","","491","","0"
"2005-12-16","","","","511","","0"
"2005-12-19","","","","514","","0"
"2005-12-20","","","","511","","0"
"2005-12-21","","","","505","","0"
"2005-12-22","","","","496","","0"
"2005-12-23","","","","500","","0"
"2005-12-26","","","","500","","0"
"2005-12-27","","","","498","","0"
"2005-12-28","","","","502","","0"
"2005-12-29","","","","499","","0"
"2005-12-30","","","","504","","0"
"2005-12-31","","","","504","","0"
"2006-01-02","","","","504","","0"
"2006-01-03","","","","492","","0"
"2006-01-04","","","","476","","0"
"2006-01-05","","","","477","","0"
"2006-01-06","","","","459","","0"
"2006-01-09","","","","459","","0"
"2006-01-10","","","","460","","0"
"2006-01-11","","","","454","","0"
"2006-01-12","","","","465","","0"
"2006-01-13","","","","467","","0"
"2006-01-16","","","","467","","0"
"2006-01-17","","","","474","","0"
"2006-01-18","","","","474","","0"
"2006-01-19","","","","459","","0"
"2006-01-20","","","","454","","0"
"2006-01-23","","","","450","","0"
"2006-01-24","","","","444","","0"
"2006-01-25","","","","443","","0"
"2006-01-26","","","","439","","0"
"2006-01-27","","","","435","","0"
"2006-01-30","","","","435","","0"
"2006-01-31","","","","440","","0"
"2006-02-01","","","","425","","0"
"2006-02-02","","","","417","","0"
"2006-02-03","","","","409","","0"
"2006-02-06","","","","397","","0"
"2006-02-07","","","","404","","0"
"2006-02-08","","","","398","","0"
"2006-02-09","","","","394","","0"
"2006-02-10","","","","370","","0"
"2006-02-13","","","","375","","0"
"2006-02-14","","","","376","","0"
"2006-02-15","","","","375","","0"
"2006-02-16","","","","375","","0"
"2006-02-17","","","","374","","0"
"2006-02-20","","","","374","","0"
"2006-02-21","","","","371","","0"
"2006-02-22","","","","373","","0"
"2006-02-23","","","","364","","0"
"2006-02-24","","","","362","","0"
"2006-02-27","","","","351","","0"
"2006-02-28","","","","354","","0"
"2006-03-01","","","","346","","0"
"2006-03-02","","","","344","","0"
"2006-03-03","","","","343","","0"
"2006-03-06","","","","351","","0"
"2006-03-07","","","","367","","0"
"2006-03-08","","","","373","","0"
"2006-03-09","","","","368","","0"
"2006-03-10","","","","353","","0"
"2006-03-13","","","","349","","0"
"2006-03-14","","","","353","","0"
"2006-03-15","","","","340","","0"
"2006-03-16","","","","333","","0"
"2006-03-17","","","","332","","0"
"2006-03-20","","","","335","","0"
"2006-03-21","","","","343","","0"
"2006-03-22","","","","350","","0"
"2006-03-23","","","","353","","0"
"2006-03-24","","","","356","","0"
"2006-03-27","","","","353","","0"
"2006-03-28","","","","354","","0"
"2006-03-29","","","","350","","0"
"2006-03-30","","","","343","","0"
"2006-03-31","","","","344","","0"
"2006-04-03","","","","342","","0"
"2006-04-04","","","","340","","0"
"2006-04-05","","","","345","","0"
"2006-04-06","","","","344","","0"
"2006-04-07","","","","346","","0"
"2006-04-10","","","","349","","0"
"2006-04-11","","","","351","","0"
"2006-04-12","","","","345","","0"
"2006-04-13","","","","342","","0"
"2006-04-17","","","","338","","0"
"2006-04-18","","","","326","","0"
"2006-04-19","","","","317","","0"
"2006-04-20","","","","319","","0"
"2006-04-21","","","","321","","0"
"2006-04-24","","","","324","","0"
"2006-04-25","","","","319","","0"
"2006-04-26","","","","315","","0"
"2006-04-27","","","","313","","0"
"2006-04-28","","","","314","","0"
"2006-05-01","","","","310","","0"
"2006-05-02","","","","311","","0"
"2006-05-03","","","","312","","0"
"2006-05-04","","","","311","","0"
"2006-05-05","","","","313","","0"
"2006-05-08","","","","314","","0"
"2006-05-09","","","","318","","0"
"2006-05-10","","","","317","","0"
"2006-05-11","","","","320","","0"
"2006-05-12","","","","329","","0"
"2006-05-15","","","","355","","0"
"2006-05-16","","","","344","","0"
"2006-05-17","","","","360","","0"
"2006-05-18","","","","359","","0"
"2006-05-19","","","","363","","0"
"2006-05-22","","","","384","","0"
"2006-05-23","","","","376","","0"
"2006-05-24","","","","389","","0"
"2006-05-25","","","","364","","0"
"2006-05-26","","","","360","","0"
"2006-05-29","","","","360","","0"
"2006-05-30","","","","371","","0"
"2006-05-31","","","","369","","0"
"2006-06-01","","","","353","","0"
"2006-06-02","","","","372","","0"
"2006-06-05","","","","373","","0"
"2006-06-06","","","","378","","0"
"2006-06-07","","","","373","","0"
"2006-06-08","","","","379","","0"
"2006-06-09","","","","377","","0"
"2006-06-12","","","","384","","0"
"2006-06-13","","","","392","","0"
"2006-06-14","","","","382","","0"
"2006-06-15","","","","366","","0"
"2006-06-16","","","","373","","0"
"2006-06-19","","","","375","","0"
"2006-06-20","","","","376","","0"
"2006-06-21","","","","379","","0"
"2006-06-22","","","","388","","0"
"2006-06-23","","","","398","","0"
"2006-06-26","","","","412","","0"
"2006-06-27","","","","419","","0"
"2006-06-28","","","","409","","0"
"2006-06-29","","","","390","","0"
"2006-06-30","","","","385","","0"
"2006-07-03","","","","373","","0"
"2006-07-04","","","","373","","0"
"2006-07-05","","","","380","","0"
"2006-07-06","","","","376","","0"
"2006-07-07","","","","373","","0"
"2006-07-10","","","","365","","0"
"2006-07-11","","","","363","","0"
"2006-07-12","","","","377","","0"
"2006-07-13","","","","385","","0"
"2006-07-14","","","","384","","0"
"2006-07-17","","","","384","","0"
"2006-07-18","","","","370","","0"
"2006-07-19","","","","364","","0"
"2006-07-20","","","","349","","0"
"2006-07-21","","","","349","","0"
"2006-07-24","","","","339","","0"
"2006-07-25","","","","344","","0"
"2006-07-26","","","","334","","0"
"2006-07-27","","","","337","","0"
"2006-07-28","","","","343","","0"
"2006-07-31","","","","346","","0"
"2006-08-01","","","","346","","0"
"2006-08-02","","","","344","","0"
"2006-08-03","","","","342","","0"
"2006-08-04","","","","337","","0"
"2006-08-07","","","","330","","0"
"2006-08-08","","","","324","","0"
"2006-08-09","","","","320","","0"
"2006-08-10","","","","323","","0"
"2006-08-11","","","","321","","0"
"2006-08-14","","","","317","","0"
"2006-08-15","","","","319","","0"
"2006-08-16","","","","308","","0"
"2006-08-17","","","","310","","0"
"2006-08-18","","","","314","","0"
"2006-08-21","","","","318","","0"
"2006-08-22","","","","324","","0"
"2006-08-23","","","","329","","0"
"2006-08-24","","","","331","","0"
"2006-08-25","","","","329","","0"
"2006-08-28","","","","327","","0"
"2006-08-29","","","","328","","0"
"2006-08-30","","","","319","","0"
"2006-08-31","","","","320","","0"
"2006-09-01","","","","319","","0"
"2006-09-04","","","","319","","0"
"2006-09-05","","","","306","","0"
"2006-09-06","","","","312","","0"
"2006-09-07","","","","314","","0"
"2006-09-08","","","","319","","0"
"2006-09-11","","","","322","","0"
"2006-09-12","","","","319","","0"
"2006-09-13","","","","323","","0"
"2006-09-14","","","","324","","0"
"2006-09-15","","","","319","","0"
"2006-09-18","","","","317","","0"
"2006-09-19","","","","328","","0"
"2006-09-20","","","","337","","0"
"2006-09-21","","","","360","","0"
"2006-09-22","","","","367","","0"
"2006-09-25","","","","373","","0"
"2006-09-26","","","","353","","0"
"2006-09-27","","","","352","","0"
"2006-09-28","","","","340","","0"
"2006-09-29","","","","342","","0"
"2006-10-02","","","","337","","0"
"2006-10-03","","","","346","","0"
"2006-10-04","","","","342","","0"
"2006-10-05","","","","325","","0"
"2006-10-06","","","","322","","0"
"2006-10-09","","","","322","","0"
"2006-10-10","","","","314","","0"
"2006-10-11","","","","315","","0"
"2006-10-12","","","","301","","0"
"2006-10-13","","","","289","","0"
"2006-10-16","","","","284","","0"
"2006-10-17","","","","293","","0"
"2006-10-18","","","","288","","0"
"2006-10-19","","","","285","","0"
"2006-10-20","","","","289","","0"
"2006-10-23","","","","287","","0"
"2006-10-24","","","","288","","0"
"2006-10-25","","","","284","","0"
"2006-10-26","","","","280","","0"
"2006-10-27","","","","283","","0"
"2006-10-30","","","","290","","0"
"2006-10-31","","","","294","","0"
"2006-11-01","","","","294","","0"
"2006-11-02","","","","289","","0"
"2006-11-03","","","","278","","0"
"2006-11-06","","","","279","","0"
"2006-11-07","","","","286","","0"
"2006-11-08","","","","287","","0"
"2006-11-09","","","","291","","0"
"2006-11-10","","","","297","","0"
"2006-11-13","","","","285","","0"
"2006-11-14","","","","288","","0"
"2006-11-15","","","","282","","0"
"2006-11-16","","","","281","","0"
"2006-11-17","","","","290","","0"
"2006-11-19","","","","290","","0"
"2006-11-20","","","","290","","0"
